comp_id,title
4000,TAFE
4001,Reserve Bank of India
4014,ICFAI University
4034,Sybase
4035,ECI Telecom
4037,UnitedLex
4053,DQ Entertainment
4056,Cavinkare
4068,Mobius Knowledge Services
4089,Novo Nordisk
4095,Lupin Pharmaceuticals
4106,NTT DATA FA Insurance Systems
4113,Innodata India
4127,Ebizon Net Info
4129,DMRC
4150,InfoCepts
4156,CoreEL Technologies
4192,Invesco
4198,Construction Industry Service Corporation
4224,Uflex
4243,Parle Agro
4249,Mettl
4276,Sodexo
4281,Allianz
4352,Whirlpool
4360,Hyundai Mobis
4366,Tata Projects Limited
4393,Gati Kintetsu Express
4394,Akzo Nobel India
4412,Karvy Stock Broking
4422,BDO
4444,Pervacio
4453,Arvind Mills
4473,IL&FS technologies
4475,Rakshak Foundation
4479,ChannelPlay
4500,Forbes Marshall
4502,Bechtel
4504,Synchronoss
4514,Welspun Group
4515,Godrej Infotech
4522,Medtronic
4551,Torrent Power
4567,Tyco
4568,Mondelez International
4572,Saint-Gobain
4598,ACG Worldwide
4612,Efftronics Systems
4643,Cholamandalam Investment & Finance
4646,SpanIdea
4656,Ameriprise
4679,Xpanxion
4697,HDFC Asset Management Company
4701,Optimus Information
4713,Alok Industries
4722,Aeronautical Development Agency
4724,Dabur India Limited
4730,Tata BlueScope Steel
4736,HMEL
4738,Kaar Technologies
4752,Aurobindo Pharma
4834,Matrix ComSec
4836,JBM Group
4841,Arnold Consulting Private Limited
4869,Shipping Corporation of India
4870,The Indian Express
4874,Hindustan Construction
4878,Virtual Employee
4881,SEED Infotech
4918,VVDN Technologies
4927,Nilkamal
4940,Ample Technologies
4964,SBI Cards & Payment Services
4972,Orange
4973,iQor
4983,Sandvik
5008,Adani Enterprises
5014,Escorts Agri Machinery
5028,Reliance Media Works
5033,Tata Hitachi Construction Machinery
5038,Gabriel India
5039,Greenply Industries
5045,Sesa Goa Limited
5047,ThinkSys
5052,Birla Sun Life Asset Management Company
5062,Safexpress Pvt
5071,Development Consultants
5075,TVS Logistics Services
5082,IFB Industries
5093,Nexsus Techno Solutions
5122,DHL Express
5129,Valeo
5158,Alfa Laval
5175,TVS Motor
5185,Avalon Global Research
5204,AGS Health
5220,NRI Financial Technologies
5227,New Holland Fiat (India)
5242,Megha Engineering and Infrastructure
5265,AGS Transact Technologies
5292,DigiCaptions India
5301,FCA Fiat Chrysler Automobiles
5303,Toyota
5374,AECOM
5376,Edelman
5383,LifeCell International
5392,Levi Strauss
5402,DreamWorks Animation
5412,Alkem Laboratories
5421,ARRIS
